LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
16,11,1,23,6,6,1,36,35.32,41.43,60620.78,0.49,262,0.02,3367.82,1463.26,116,146,28,20,37,0
1,3,3,1,2,2,1,5,16.07,4.5,325.53,0.02,19,0.22,18.08,72.34,9,10,7,7,8,0
6,11,2,4,6,5,1,35,84.05,13.03,14262.1,0.36,195,0.08,792.34,1094.87,90,105,38,11,37,0
1,1,2,0,1,1,1,3,14.4,2.5,90.0,0.01,12,0.4,5.0,36.0,5,7,4,4,5,0
4,5,3,0,3,2,1,6,14.46,7.5,813.14,0.04,26,0.13,45.17,108.42,12,14,8,10,9,0
0,1,0,0,1,1,1,4,10.24,7.0,501.89,0.02,20,0.14,27.88,71.7,7,13,4,8,4,0
5,3,8,1,2,1,1,8,25.45,12.6,4039.9,0.11,66,0.08,224.44,320.63,27,39,15,14,16,0
4,21,6,4,11,8,7,37,61.59,17.5,18863.21,0.36,193,0.06,1047.96,1077.9,85,108,34,14,43,0
4,7,0,3,4,3,4,10,26.1,9.43,2320.6,0.08,53,0.11,128.91,246.12,24,29,14,11,10,0
0,1,0,0,1,1,1,2,9.49,3.5,116.27,0.01,10,0.29,6.46,33.22,3,7,3,7,2,0
0,1,0,0,1,1,1,4,18.82,3.0,169.42,0.02,17,0.33,9.41,56.47,9,8,6,4,4,0
1,3,0,0,2,2,1,4,9.08,5.33,258.3,0.02,14,0.19,14.35,48.43,4,10,3,8,4,0
1,1,0,1,1,1,1,6,22.84,10.0,2284.01,0.08,52,0.1,126.89,228.4,15,37,9,12,6,0
2,11,2,0,6,1,3,32,19.66,21.25,8877.96,0.14,86,0.05,493.22,417.79,30,56,12,17,34,0
2,3,0,1,2,2,1,9,12.73,6.75,580.17,0.03,22,0.15,32.22,85.95,9,13,6,9,9,0
2,11,0,0,6,1,1,14,17.97,17.6,5565.94,0.11,72,0.06,309.22,316.25,32,40,10,11,14,0
2,3,0,2,2,2,1,17,17.73,24.89,10980.14,0.15,95,0.04,610.01,441.17,28,67,9,16,17,0
4,1,1,3,1,1,1,13,51.96,6.18,1982.32,0.11,70,0.16,110.13,320.95,30,40,17,7,14,0
0,3,0,0,2,1,1,7,10.64,8.0,680.88,0.03,23,0.13,37.83,85.11,10,13,5,8,7,0
3,7,1,4,1,1,1,27,38.35,13.0,6481.43,0.17,98,0.08,360.08,498.57,42,56,21,13,28,0
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,0
0,1,0,0,1,1,1,14,38.42,13.0,6492.14,0.17,99,0.08,360.67,499.4,40,59,20,13,14,0
1,3,2,0,2,1,1,2,8.72,4.0,139.48,0.01,11,0.25,7.75,34.87,4,7,3,6,4,0
2,1,0,3,1,1,1,15,43.11,8.94,3446.29,0.13,83,0.11,191.46,385.44,38,45,17,8,15,0
0,1,0,0,1,1,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,1,0
0,1,2,0,1,1,1,1,11.63,2.0,46.53,0.01,9,0.5,2.58,23.26,4,5,3,3,3,0
2,3,7,2,2,2,1,8,26.22,13.6,4849.99,0.12,75,0.07,269.44,356.62,34,41,15,12,15,0
0,3,0,0,2,1,1,8,32.36,3.5,396.55,0.04,29,0.29,22.03,113.3,14,15,10,5,8,0
1,13,0,0,7,5,1,13,23.89,9.6,2201.72,0.08,55,0.1,122.32,229.35,24,31,10,8,13,0
1,5,1,0,3,1,1,7,13.48,4.67,293.57,0.02,17,0.21,16.3,62.91,8,9,6,7,8,0
0,1,0,0,1,1,1,3,6.89,3.0,62.04,0.01,8,0.33,3.45,20.68,3,5,2,4,3,0
2,3,3,0,2,1,1,7,8.72,13.0,1472.9,0.04,29,0.08,81.83,113.3,13,16,5,10,10,0
4,1,5,5,1,1,1,3,24.91,5.33,708.45,0.04,34,0.19,39.36,132.83,16,18,9,6,8,0
15,1,0,90,1,1,1,24,55.09,23.9,31458.99,0.44,237,0.04,1747.72,1316.44,125,112,34,13,24,0
1,3,0,1,2,1,1,6,14.38,4.5,291.26,0.02,17,0.22,16.18,64.73,5,12,5,9,6,0
16,10,22,13,7,1,1,21,28.4,22.92,14912.49,0.22,129,0.04,828.47,650.73,55,74,18,15,43,1
0,1,0,0,1,1,1,6,23.69,4.5,479.73,0.04,28,0.22,26.65,106.61,12,16,8,6,6,0
7,13,2,9,7,5,1,31,73.7,13.26,12966.91,0.33,178,0.08,720.38,977.55,82,96,34,11,33,0
0,11,0,0,6,1,3,21,8.36,27.0,6094.62,0.08,61,0.04,338.59,225.73,24,37,4,9,21,0
0,1,0,0,1,1,1,7,44.81,2.0,179.25,0.03,25,0.5,9.96,89.62,12,13,9,3,7,0
0,1,0,0,1,1,1,3,15.02,5.71,490.5,0.03,21,0.18,27.25,85.84,8,13,7,10,3,0
4,3,4,1,2,1,1,10,22.65,12.38,3474.36,0.09,59,0.08,193.02,280.54,23,36,13,14,14,0
0,1,0,0,1,1,1,2,10.57,3.0,95.1,0.01,10,0.33,5.28,31.7,3,7,3,6,2,0
0,1,0,2,1,1,1,6,9.21,11.25,1165.64,0.03,28,0.09,64.76,103.61,10,18,4,9,6,0
3,1,8,4,1,1,1,27,112.99,8.79,8721.35,0.33,175,0.11,484.52,992.67,82,93,42,9,35,0
9,29,0,3,15,7,3,22,14.84,49.11,35780.79,0.24,155,0.02,1987.82,728.57,52,103,9,17,22,0
0,1,0,0,1,1,1,0,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,3,4,3,4,0,0
1,3,3,0,2,2,1,3,8.96,8.0,573.59,0.02,20,0.13,31.87,71.7,8,12,4,8,6,0
14,11,8,7,6,3,1,19,42.79,8.0,2738.82,0.11,72,0.13,152.16,342.35,32,40,18,9,27,0
0,1,0,0,1,1,1,11,26.78,12.57,4228.87,0.11,70,0.08,234.94,336.51,29,41,15,13,11,0
0,3,0,0,2,2,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,0,0
0,1,1,1,1,1,1,2,8.4,4.0,134.42,0.01,13,0.25,7.47,33.6,4,9,2,4,3,0
19,41,13,26,21,19,19,78,86.27,47.4,193827.5,1.36,679,0.02,10768.19,4089.19,316,363,50,15,91,0
15,15,1,1,1,1,1,47,33.46,31.67,33562.86,0.35,185,0.03,1864.6,1059.67,61,124,26,27,48,0
2,23,9,6,17,15,7,43,34.14,30.0,30723.65,0.34,172,0.03,1706.87,1024.11,64,108,32,30,52,0
5,15,1,5,8,5,7,29,61.4,11.42,8014.02,0.23,127,0.09,445.22,701.49,58,69,33,13,30,0
3,9,3,1,5,4,1,24,51.6,10.12,5284.28,0.17,101,0.1,293.57,522.15,46,55,25,11,27,0
7,3,0,4,2,2,1,14,22.45,12.07,3271.7,0.09,57,0.08,181.76,271.03,26,31,14,13,14,0
0,1,0,0,1,1,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,0,0
1,3,0,2,2,2,1,5,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,6,10,5,8,5,0
11,23,4,18,12,10,11,40,62.52,23.8,35411.97,0.5,265,0.04,1967.33,1487.9,119,146,35,14,44,0
0,3,0,0,2,2,1,10,11.59,9.17,974.18,0.04,26,0.11,54.12,106.27,10,16,6,11,10,0
0,1,0,0,1,1,1,0,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,4,7,4,6,0,0
4,21,0,4,11,2,5,34,26.07,35.6,33036.05,0.31,170,0.03,1835.34,928.1,65,105,21,23,34,0
15,7,0,77,4,4,1,44,21.39,79.89,136544.83,0.57,319,0.01,7585.82,1709.06,138,181,19,22,44,0
2,5,1,0,3,3,1,25,69.28,9.62,6412.06,0.22,127,0.1,356.23,666.49,62,65,29,9,26,0
0,1,1,0,1,1,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,0
4,11,0,6,6,4,6,23,39.72,13.8,7564.59,0.18,103,0.07,420.25,548.16,46,57,25,15,23,0
0,1,0,0,1,1,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,0,0
16,21,0,93,11,8,1,49,21.75,67.36,98690.19,0.49,270,0.01,5482.79,1465.09,97,173,18,25,49,0
2,3,0,2,2,1,1,8,20.31,5.25,559.68,0.04,28,0.19,31.09,106.61,14,14,8,6,8,0
20,23,3,48,12,5,6,50,20.4,43.71,38982.45,0.3,180,0.02,2165.69,891.76,72,108,14,17,53,0
0,1,0,0,1,1,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,0,0
0,5,0,0,3,2,1,9,8.55,13.0,1444.74,0.04,31,0.08,80.26,111.13,13,18,4,8,9,0
14,7,0,23,4,4,1,41,28.38,51.4,74995.63,0.49,278,0.02,4166.42,1458.92,127,151,21,17,41,0
23,1,14,27,1,1,1,17,164.39,4.2,2899.87,0.23,125,0.24,161.1,690.45,56,69,40,6,31,0
12,25,5,12,13,10,9,87,69.2,35.36,86504.3,0.82,387,0.03,4805.79,2446.59,165,222,56,24,92,0
5,11,4,15,6,2,1,25,42.51,11.73,5846.88,0.17,98,0.09,324.83,498.57,43,55,22,12,29,0
6,7,0,0,4,3,1,10,17.55,13.82,3350.9,0.08,51,0.07,186.16,242.5,19,32,11,16,10,0
0,1,0,0,1,1,1,2,11.39,3.5,139.52,0.01,12,0.29,7.75,39.86,3,9,3,7,2,0
9,11,0,0,6,3,1,21,34.68,21.58,16147.85,0.25,134,0.05,897.1,748.38,51,83,26,22,21,0
3,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,0
3,5,0,2,3,3,1,12,21.89,8.0,1401.09,0.06,42,0.13,77.84,175.14,16,26,9,9,12,0
1,3,0,1,2,1,1,6,14.38,4.5,291.26,0.02,17,0.22,16.18,64.73,5,12,5,9,6,0
8,19,6,6,10,10,6,38,79.49,15.92,20158.99,0.42,221,0.06,1119.94,1265.87,98,123,40,13,44,0
4,5,0,3,3,2,1,19,18.99,31.5,18845.31,0.2,114,0.03,1046.96,598.26,51,63,17,21,19,0
7,15,1,6,8,5,7,34,73.7,11.83,10320.65,0.29,153,0.08,573.37,872.17,71,82,39,13,35,0
0,1,2,4,1,1,1,2,22.58,8.13,1490.75,0.06,44,0.12,82.82,183.48,13,31,8,10,4,0
0,1,0,0,1,1,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1,4,1,4,0,0
4,21,0,4,11,2,5,34,26.07,35.6,33036.05,0.31,170,0.03,1835.34,928.1,65,105,21,23,34,0
0,1,0,0,1,1,1,7,20.09,7.0,984.54,0.05,36,0.14,54.7,140.65,16,20,8,7,7,0
0,1,0,0,1,1,1,0,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,3,5,3,4,0,0
1,1,4,0,1,1,1,1,20.97,3.0,188.72,0.02,17,0.33,10.48,62.91,7,10,7,6,5,0
0,1,0,0,1,1,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,0,0
8,13,0,10,7,2,1,34,24.46,36.42,32440.57,0.3,171,0.03,1802.25,890.82,69,102,18,19,34,0
1,5,0,0,3,3,1,13,16.4,7.07,820.29,0.04,29,0.14,45.57,116.0,11,18,7,9,13,0
8,17,32,3,13,10,4,48,34.8,34.72,41961.57,0.4,212,0.03,2331.2,1208.49,75,137,27,25,80,0
0,1,0,0,1,1,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,0,0
15,1,0,47,1,1,1,17,117.18,2.67,833.27,0.1,65,0.38,46.29,312.48,32,33,24,4,17,0
2,3,2,0,2,2,1,5,8.54,5.83,290.67,0.02,15,0.17,16.14,49.83,5,10,3,7,7,0
0,3,0,0,2,2,1,9,10.0,4.5,202.5,0.02,15,0.22,11.25,45.0,3,12,2,6,9,0
19,41,8,26,21,19,19,66,68.71,44.09,133582.51,1.01,515,0.02,7421.25,3029.56,237,278,43,16,74,0
3,5,0,0,3,2,1,13,14.97,9.29,1290.47,0.05,34,0.11,71.69,138.97,13,21,7,10,13,0
0,1,0,0,1,1,1,0,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,6,1,6,0,0
0,1,0,0,1,1,1,11,25.92,14.86,5722.17,0.13,81,0.07,317.9,385.15,32,49,14,13,11,0
6,1,0,8,1,1,1,14,27.22,16.0,6969.14,0.15,95,0.06,387.17,435.57,32,63,12,12,14,0
5,5,0,4,3,3,1,23,22.98,28.81,19072.03,0.22,122,0.03,1059.56,662.0,55,67,21,22,23,0
1,1,0,4,1,1,1,3,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,3,5,3,4,3,0
10,27,0,9,1,1,1,44,30.59,55.52,94302.8,0.57,313,0.02,5239.04,1698.42,106,207,21,22,44,0
1,1,0,0,1,1,1,3,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,3,0
0,1,1,0,1,1,1,2,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,3,5,3,4,3,0
10,1,0,9,1,1,1,7,38.4,2.5,240.0,0.03,24,0.4,13.33,96.0,11,13,11,5,7,0
0,1,1,0,1,1,1,6,24.22,2.0,96.86,0.02,14,0.5,5.38,48.43,7,7,7,4,7,0
2,13,0,6,7,5,6,15,17.56,40.8,29225.2,0.24,142,0.02,1623.62,716.3,68,74,15,18,15,0
6,5,10,0,3,1,1,15,22.9,11.46,3006.28,0.09,58,0.09,167.02,262.37,25,33,12,11,25,0
10,23,4,16,12,11,11,40,57.78,27.64,44151.48,0.53,283,0.04,2452.86,1597.21,129,154,35,15,44,0
1,7,0,2,4,4,1,10,21.54,17.25,6408.52,0.12,80,0.06,356.03,371.51,23,57,10,15,10,0
15,3,0,1,1,1,1,44,68.1,16.55,18643.53,0.38,204,0.06,1035.75,1126.81,84,120,33,13,44,0
0,1,0,0,1,1,1,0,9.31,2.5,58.16,0.01,9,0.4,3.23,23.26,1,8,1,5,0,0
6,1,0,6,1,1,1,30,118.82,9.29,10262.23,0.37,191,0.11,570.12,1104.24,95,96,46,9,30,0
3,3,0,3,2,2,1,6,16.61,3.0,149.49,0.02,15,0.33,8.3,49.83,6,9,5,5,6,0
7,27,5,17,14,6,1,72,24.57,81.89,164734.96,0.67,378,0.01,9151.94,2011.69,134,244,18,22,77,0
8,55,4,17,1,1,1,71,35.59,83.83,250072.91,0.99,516,0.01,13892.94,2983.18,187,329,29,26,75,0
2,3,0,0,2,2,1,10,24.0,4.67,522.66,0.04,28,0.21,29.04,112.0,12,16,9,7,10,0
0,1,0,0,1,1,1,9,23.11,12.0,3327.91,0.09,59,0.08,184.88,277.33,24,35,13,13,9,0
0,1,0,0,1,1,1,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,3,5,3,5,2,0
2,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,0
0,1,0,0,1,1,1,2,9.49,3.5,116.27,0.01,10,0.29,6.46,33.22,3,7,3,7,2,0
6,5,5,0,3,1,1,12,14.82,12.83,2440.45,0.06,44,0.08,135.58,190.16,21,23,9,11,17,0
2,5,4,0,3,3,1,14,28.47,5.6,892.7,0.05,39,0.18,49.59,159.41,16,23,10,7,18,0
6,5,0,2,3,2,1,22,53.26,9.1,4406.9,0.16,93,0.11,244.83,484.48,43,50,26,11,22,0
11,31,2,1,16,8,16,62,36.13,35.2,44768.42,0.42,221,0.03,2487.13,1271.83,88,133,30,24,64,0
0,1,0,0,1,1,1,2,7.83,4.67,170.53,0.01,11,0.21,9.47,36.54,4,7,3,7,2,0
1,5,0,8,1,1,1,30,43.11,26.77,30890.51,0.38,214,0.04,1716.14,1153.96,87,127,26,16,30,0
0,1,0,0,1,1,1,2,7.71,3.5,94.5,0.01,9,0.29,5.25,27.0,1,8,1,7,2,0
2,3,0,0,2,1,1,7,9.87,8.1,647.63,0.03,21,0.12,35.98,79.95,9,12,5,9,7,0
7,3,0,2,2,2,1,10,11.68,12.0,1682.18,0.05,33,0.08,93.45,140.18,14,19,7,12,10,0
0,1,0,0,1,1,1,0,8.3,6.67,369.01,0.02,16,0.15,20.5,55.35,5,11,3,8,0,0
8,11,0,3,6,4,3,25,38.91,9.55,3545.04,0.12,73,0.1,196.95,371.38,35,38,22,12,25,1
0,1,0,0,1,1,1,3,13.2,2.5,82.5,0.01,11,0.4,4.58,33.0,5,6,4,4,3,0
0,1,3,0,1,1,1,1,16.21,2.25,82.12,0.01,13,0.44,4.56,36.5,6,7,4,3,4,0
4,5,0,3,3,2,1,20,25.9,25.94,17430.81,0.22,131,0.04,968.38,671.94,49,82,17,18,20,0
5,3,0,4,2,1,1,21,34.39,17.33,10332.61,0.2,124,0.06,574.03,596.11,40,84,15,13,21,0
1,1,0,0,1,1,1,3,9.51,4.0,152.21,0.01,11,0.25,8.46,38.05,3,8,3,8,3,0
1,1,0,1,1,1,1,5,16.51,4.8,380.39,0.03,25,0.21,21.13,79.25,12,13,5,4,5,0
4,5,0,2,3,2,1,23,53.0,9.73,5018.51,0.17,99,0.1,278.81,515.74,46,53,26,11,23,0
0,1,2,0,1,1,1,1,16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,4,5,4,3,3,0
1,1,0,0,1,1,1,16,93.23,3.0,839.05,0.09,61,0.33,46.61,279.68,30,31,20,4,16,0
0,1,0,0,1,1,1,11,56.4,3.33,626.61,0.06,41,0.3,34.81,187.98,20,21,18,6,11,0
12,1,0,7,1,1,1,7,51.39,1.8,166.52,0.03,25,0.56,9.25,92.51,12,13,10,3,7,0
5,9,0,1,5,4,1,15,25.82,11.05,3150.69,0.1,66,0.09,175.04,285.25,27,39,11,9,15,0
1,1,0,5,1,1,1,25,188.48,4.9,4519.03,0.31,155,0.2,251.06,922.9,142,13,58,4,25,0
18,18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,99,139,27,26,81,1
4,1,4,1,1,1,1,11,33.7,8.91,2674.82,0.1,72,0.11,148.6,300.23,28,44,11,7,15,0
6,5,8,1,3,2,1,8,23.2,14.23,4699.28,0.11,73,0.07,261.07,330.22,37,36,13,10,16,0
4,23,1,10,1,1,1,26,22.44,50.0,56093.69,0.37,217,0.02,3116.32,1121.87,80,137,16,20,27,0
5,3,7,1,2,1,1,9,25.45,12.6,4039.9,0.11,66,0.08,224.44,320.63,27,39,15,14,16,0
1,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,0
1,3,0,0,2,2,1,11,37.46,4.85,879.68,0.06,42,0.21,48.87,181.52,18,24,13,7,11,0
5,9,0,5,5,4,1,28,67.56,8.59,4989.62,0.19,107,0.12,277.2,580.61,50,57,32,11,28,0
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,0
16,1,0,0,1,1,1,10,24.53,6.8,1134.22,0.06,40,0.15,63.01,166.8,17,23,10,8,10,0
49,21,3,31,11,9,8,70,67.9,25.58,44433.67,0.58,278,0.04,2468.54,1736.92,134,144,55,21,73,0
4,1,0,5,1,1,1,12,55.25,3.83,811.8,0.07,49,0.26,45.1,211.77,23,26,15,5,12,0
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0
2,1,0,0,1,1,1,4,10.28,4.38,196.76,0.01,13,0.23,10.93,44.97,5,8,4,7,4,0
2,3,0,0,2,2,1,17,27.58,9.64,2564.3,0.09,58,0.1,142.46,265.93,27,31,14,10,17,0
6,9,4,6,5,3,1,28,25.37,14.93,5658.58,0.13,78,0.07,314.37,378.92,32,46,15,14,32,0
0,1,0,0,1,1,1,0,16.5,2.0,66.0,0.01,11,0.5,3.67,33.0,4,7,4,4,0,0
2,3,2,0,2,1,1,18,94.97,4.71,2110.57,0.15,88,0.21,117.25,447.7,44,44,28,6,20,0
15,3,0,1,1,1,1,44,68.1,16.55,18643.53,0.38,204,0.06,1035.75,1126.81,84,120,33,13,44,0
2,3,1,0,2,2,1,15,56.19,14.88,12432.2,0.28,156,0.07,690.68,835.78,42,114,24,17,16,0
0,1,0,0,1,1,1,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,3,5,3,5,2,0
4,7,2,4,4,4,1,18,32.35,20.43,13494.29,0.22,125,0.05,749.68,660.68,43,82,20,19,20,0
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,0
0,1,0,0,1,1,1,0,7.33,4.5,148.5,0.01,11,0.22,8.25,33.0,3,8,2,6,0,0
24,5,0,3,3,2,1,20,40.5,9.71,3822.21,0.13,78,0.1,212.34,393.46,34,44,21,12,20,0
1,3,3,0,2,2,1,3,11.56,6.4,473.66,0.02,20,0.16,26.31,74.01,8,12,5,8,6,0
6,1,0,0,1,1,1,4,6.89,3.0,62.04,0.01,8,0.33,3.45,20.68,3,5,2,4,4,0
3,3,0,20,2,2,1,9,13.2,6.67,586.67,0.03,22,0.15,32.59,88.0,8,14,6,10,9,0
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,2,0,2,0,0,0
1,7,0,2,1,1,1,19,26.29,17.5,8052.16,0.15,89,0.06,447.34,460.12,35,54,18,18,19,0
5,13,0,7,7,4,6,24,49.18,11.8,6842.92,0.19,109,0.08,380.16,580.09,49,60,27,13,24,0
9,11,0,0,6,3,4,16,24.08,20.42,10035.66,0.16,93,0.05,557.54,491.54,35,58,18,21,16,0
0,3,0,0,2,2,1,8,11.56,6.4,473.66,0.02,20,0.16,26.31,74.01,8,12,5,8,8,0
0,3,0,0,2,2,1,3,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,3,5,3,5,3,0
13,5,2,4,3,2,3,39,55.48,19.5,21096.95,0.36,197,0.05,1172.05,1081.9,96,101,32,13,41,1
11,21,11,16,11,10,11,38,68.12,26.54,47985.65,0.6,322,0.04,2665.87,1807.94,147,175,36,13,49,0
2,5,1,0,3,2,1,14,29.73,6.79,1368.94,0.07,44,0.15,76.05,201.74,19,25,14,10,15,0
4,9,0,0,5,2,4,9,21.19,11.69,2896.85,0.08,51,0.09,160.94,247.76,19,32,13,16,9,0
8,23,11,8,12,8,7,66,74.53,21.0,32866.37,0.52,249,0.05,1825.91,1565.07,114,135,57,21,77,1
0,1,0,3,1,1,1,5,17.9,9.1,1481.92,0.05,36,0.11,82.33,162.85,14,22,10,13,5,0
6,11,4,7,6,4,3,17,22.38,33.06,24464.81,0.25,140,0.03,1359.16,739.96,46,94,16,23,21,0
0,1,0,0,1,1,1,3,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,3,5,3,4,3,0
6,7,11,1,4,3,1,14,34.23,10.32,3642.58,0.12,70,0.1,202.37,353.11,28,42,19,14,25,0
0,1,0,0,1,1,1,4,13.45,3.6,174.36,0.02,14,0.28,9.69,48.43,6,8,5,6,4,0
4,1,4,9,1,1,1,11,41.79,8.86,3278.32,0.12,83,0.11,182.13,370.13,31,52,14,8,15,0
5,25,3,6,13,11,9,36,46.36,22.4,23260.82,0.35,188,0.04,1292.27,1038.43,84,104,30,16,39,0
0,1,0,0,1,1,1,5,27.63,2.81,218.56,0.03,21,0.36,12.14,77.71,9,12,8,5,5,0
1,5,1,0,3,1,1,15,20.67,11.5,2733.62,0.08,55,0.09,151.87,237.71,23,32,10,10,16,0
0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,0
5,11,0,12,1,1,1,29,18.41,40.19,29742.31,0.25,148,0.02,1652.35,740.0,55,93,13,19,29,0
1,1,0,0,1,1,1,6,21.58,5.25,594.82,0.04,29,0.19,33.05,113.3,12,17,8,7,6,0
4,7,1,8,4,1,1,23,23.26,21.67,10918.18,0.17,113,0.05,606.57,503.92,52,61,12,10,24,0
3,3,0,0,2,2,1,10,20.57,8.56,1505.78,0.06,44,0.12,83.65,176.0,22,22,9,7,10,0
1,7,0,1,4,2,1,10,16.47,8.44,1172.59,0.05,34,0.12,65.14,138.97,15,19,8,9,10,0
4,1,4,1,1,1,1,11,33.7,8.91,2674.82,0.1,72,0.11,148.6,300.23,28,44,11,7,15,0
9,3,3,2,2,2,1,12,31.67,12.63,5053.69,0.13,78,0.08,280.76,400.08,30,48,19,16,15,0
2,1,0,4,1,1,1,4,11.35,6.0,408.69,0.02,19,0.17,22.7,68.11,6,13,4,8,4,0
39,134,98,2,80,44,1,202,50.69,141.56,1015641.46,2.39,1037,0.01,56424.53,7174.86,416,621,72,49,300,0
1,1,0,1,1,1,1,6,22.84,10.0,2284.01,0.08,52,0.1,126.89,228.4,15,37,9,12,6,0
4,5,3,0,3,2,1,6,14.46,7.5,813.14,0.04,26,0.13,45.17,108.42,12,14,8,10,9,0
9,11,10,3,6,3,1,31,42.09,24.44,25137.63,0.34,192,0.04,1396.54,1028.65,69,123,24,17,41,0
2,1,0,1,1,1,1,7,13.45,11.0,1628.0,0.05,37,0.09,90.44,148.0,10,27,5,11,7,0
0,1,0,0,1,1,1,11,29.28,11.78,4063.55,0.11,71,0.08,225.75,344.92,29,42,16,13,11,0
21,30,4,24,19,4,4,100,44.28,51.35,116742.55,0.76,365,0.02,6485.7,2273.52,138,227,43,32,104,0
11,1,0,10,1,1,1,9,86.0,1.6,220.17,0.05,33,0.63,12.23,137.61,16,17,15,3,9,0
6,1,0,9,1,1,1,3,16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,4,5,4,3,3,0
1,5,4,0,3,3,1,6,13.71,6.67,609.18,0.03,24,0.15,33.84,91.38,10,14,6,8,10,0
10,9,2,7,5,3,1,23,28.49,33.47,31908.79,0.32,189,0.03,1772.71,953.39,63,126,16,17,25,0
6,3,0,0,2,2,1,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,3,5,3,5,2,0
0,3,0,3,2,1,1,6,17.41,3.5,213.21,0.02,16,0.29,11.85,60.92,7,9,7,7,6,0
20,41,13,26,21,19,19,78,84.23,48.37,197048.57,1.36,679,0.02,10947.14,4074.0,316,363,49,15,91,0
1,3,2,0,2,1,1,2,8.72,4.0,139.48,0.01,11,0.25,7.75,34.87,4,7,3,6,4,0
9,27,2,18,20,17,1,86,66.26,43.5,125383.65,0.96,444,0.02,6965.76,2882.38,183,261,61,29,88,0
7,13,9,7,9,5,3,33,29.94,36.35,39555.7,0.36,190,0.03,2197.54,1088.3,70,120,26,27,42,1
0,3,2,0,2,1,1,8,13.33,8.0,852.85,0.04,28,0.13,47.38,106.61,12,16,6,8,10,0
1,9,0,1,5,2,1,8,19.98,4.5,404.66,0.03,22,0.22,22.48,89.92,8,14,8,9,8,0
18,25,27,9,13,3,10,29,30.98,35.81,39723.42,0.37,202,0.03,2206.86,1109.35,98,104,26,19,56,0
4,3,0,6,2,2,1,8,15.92,12.57,2516.25,0.07,48,0.08,139.79,200.16,16,32,7,11,8,0
5,9,0,1,5,2,1,22,15.64,22.56,7958.45,0.12,78,0.04,442.14,352.84,29,49,9,14,22,0
